LotArea,GrLivArea,GarageArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageCars,Neighborhood,MSZoning,BldgType,HouseStyle,KitchenQual,ExterQual,Foundation,CentralAir,PavedDrive,HeatingQC,SalePrice
9270,1969,63,3,7,1984,1976,1583,1,1,8,0,0,NAmes,RM,2fmCon,1.5Fin,Gd,Ex,PConc,Y,N,TA,354878
2860,3396,87,9,1,2012,1956,1501,1,0,7,2,1,NAmes,RH,2fmCon,1Story,Gd,TA,BrkTil,Y,N,Gd,630152
7390,892,32,5,6,1966,2009,1005,1,0,3,1,3,CollgCr,FV,2fmCon,1.5Fin,Gd,Gd,CBlock,Y,N,Gd,256242
7191,508,71,5,1,1977,1961,883,3,0,3,1,2,Edwards,RM,Duplex,1Story,Gd,TA,PConc,Y,Y,Ex,208098
13964,1112,555,7,8,1986,1956,1083,2,0,9,0,1,CollgCr,RH,2fmCon,1.5Fin,TA,Ex,PConc,N,N,Ex,286368
13284,2443,252,8,8,1972,1994,975,3,1,3,0,1,CollgCr,FV,Duplex,2Story,Gd,Ex,BrkTil,N,Y,Ex,468848
7734,3354,106,6,3,1964,1957,370,3,1,3,1,3,Edwards,RM,Duplex,1Story,TA,Gd,BrkTil,N,Y,Gd,549616
8265,1214,801,5,4,1962,1953,532,1,1,8,0,0,Somerst,RM,2fmCon,1.5Fin,TA,TA,PConc,N,N,Gd,262815
2466,2427,929,1,3,1963,1977,121,1,0,11,2,1,Somerst,RH,2fmCon,1.5Fin,TA,Ex,BrkTil,Y,Y,Gd,306608
6426,3724,919,9,7,1958,1995,273,3,1,5,1,3,OldTown,RL,2fmCon,1.5Fin,TA,Gd,PConc,Y,Y,Ex,607762
7578,609,513,6,6,1957,2010,794,1,1,11,0,1,Edwards,FV,Duplex,1.5Fin,Ex,Ex,CBlock,Y,N,TA,195007
13636,1333,135,3,7,2020,1989,196,2,1,7,0,2,Somerst,FV,2fmCon,2Story,Ex,Gd,PConc,Y,N,TA,222704
13363,765,628,7,8,2016,1983,1356,2,0,7,1,0,Somerst,RH,Duplex,1.5Fin,TA,Ex,PConc,Y,Y,TA,281753
13111,1896,408,4,8,1972,1976,1945,2,1,6,0,2,NAmes,FV,2fmCon,1Story,TA,Ex,BrkTil,N,N,Ex,413642
10322,3723,120,3,2,1990,1975,444,2,0,5,2,3,CollgCr,FV,1Fam,2Story,Ex,TA,CBlock,N,Y,Gd,532585
3685,2531,477,7,8,1981,1960,83,3,1,4,0,0,OldTown,RL,Duplex,1.5Fin,Gd,Ex,PConc,Y,N,TA,415222
2769,1475,799,6,6,2014,1950,516,1,1,8,2,0,OldTown,RL,Duplex,2Story,Gd,Ex,CBlock,Y,Y,Ex,273304
12583,2118,823,4,2,1976,1970,780,2,1,3,2,0,Edwards,RM,1Fam,1.5Fin,TA,TA,BrkTil,Y,Y,Ex,337855
